Date,IAEX.L,VWRD.L,TGET.AS,EUEA.AS
2019-07-22,56.99363327026367,86.16731262207031,37.60929870605469,35.107967376708984
2019-07-23,56.99363327026367,86.43511962890625,38.0040397644043,35.53754425048828
2019-07-24,57.75115585327149,86.64838409423828,37.88068008422852,35.542423248291016
2019-07-25,57.26275253295898,86.59383392333984,37.89301681518555,35.30811309814453
2019-07-26,57.26275253295898,86.71286010742188,38.17180633544922,35.45455551147461
2019-07-29,57.65148162841797,86.71781921386719,38.70964431762695,35.45943832397461
2019-07-30,57.252784729003906,86.2119369506836,38.67017364501953,34.84436416625977
2019-07-31,56.95376205444336,86.30120849609375,38.408653259277344,34.878536224365234
2019-08-01,56.95376205444336,86.23178100585938,38.73678588867188,35.09332656860352
2019-08-02,55.71780776977539,83.87598419189453,37.82147216796875,33.970569610595696
2019-08-05,54.23266220092773,82.2591781616211,37.12080383300781,33.301803588867195
2019-08-06,53.9735107421875,81.94672393798828,36.8790168762207,33.10165786743164
2019-08-07,53.87383270263672,82.15006256103516,36.94563293457031,33.277393341064446
2019-08-08,54.11305236816406,83.64785766601562,37.63150024414063,33.965694427490234
2019-08-09,54.11305236816406,83.07749938964844,37.5254135131836,33.531234741210945
2019-08-12,54.11305236816406,82.83944702148438,37.51801300048828,33.4775390625
2019-08-13,54.11305236816406,83.45938873291016,37.79433059692383,33.78507232666016
2019-08-14,54.41207504272461,81.72850036621094,36.985107421875,33.11630630493164
2019-08-15,53.57481384277344,81.42100524902344,36.6939811706543,33.052845001220696
2019-08-16,53.485107421875,82.52699279785156,37.064056396484375,33.511363983154304
2019-08-19,54.50178146362305,83.46434783935547,37.44892883300781,33.89917755126953
2019-08-20,54.50178146362305,83.22628784179688,37.26142501831055,33.72018814086914
2019-08-21,54.85063934326172,83.66768646240234,37.51554489135742,34.162696838378906
2019-08-22,54.85063934326172,83.14198303222656,36.98757553100586,33.953872680664055
2019-08-23,54.72106552124024,82.48235321044922,36.72605514526367,33.57102584838867
2019-08-26,,,36.72605514526367,33.72018814086914
2019-08-27,54.35226821899414,82.45755767822266,36.64216995239258,33.9190673828125
2019-08-28,54.7509651184082,82.60138702392578,36.886417388916016,33.87929153442383
2019-08-29,55.45865249633789,83.46931457519531,37.35271072387695,34.34666061401367
2019-08-30,55.45865249633789,83.4097900390625,37.3699836730957,34.5107421875
2019-09-02,55.78757858276367,83.43458557128906,37.75979614257813,34.55548477172852
2019-09-03,55.93708801269531,83.15685272216797,37.56735610961914,34.44112777709961
2019-09-04,55.93708801269531,84.15372467041016,37.71538543701172,34.744422912597656
2019-09-05,56.33578491210938,85.29442596435547,37.78446578979492,35.097434997558594
2019-09-06,56.9637336730957,85.49280548095703,37.92755889892578,35.196876525878906
2019-09-09,56.85409164428711,85.57215118408203,37.895484924316406,35.201847076416016
2019-09-10,56.87402725219727,85.1753921508789,37.8732795715332,35.24162292480469
2019-09-11,57.342491149902344,85.85485076904297,38.15947341918945,35.415645599365234
2019-09-12,57.05344009399414,86.53431701660156,38.41605758666992,35.654296875
2019-09-13,57.23284912109375,86.82196807861328,38.31243515014648,35.7636833190918
2019-09-16,56.99363327026367,86.32600402832031,38.110130310058594,35.44547653198242
2019-09-17,57.06340408325195,86.29129791259766,37.90781784057617,35.47530746459961
2019-09-18,57.06340408325195,86.27642059326172,37.945091247558594,35.549888610839844
2019-09-19,57.511940002441406,86.77237701416016,38.198524475097656,35.793514251708984
2019-09-20,57.472068786621094,86.59878540039062,38.11404418945313,35.95759201049805
2019-09-23,57.113243103027344,86.0284423828125,38.02708435058594,35.639381408691406
2019-09-24,57.07337188720703,86.04827880859375,37.96248245239258,35.57474899291992
2019-09-25,56.97369766235352,85.47296905517578,37.952545166015625,35.351009368896484
2019-09-26,57.40229797363281,85.518798828125,38.0419921875,35.55982971191406
2019-09-27,57.45213317871094,85.8676528930664,38.30535888671875,35.7288818359375
2019-09-30,56.55506896972656,85.67826843261719,38.31529998779297,35.95759201049805
2019-10-01,57.90066909790039,85.15998077392578,38.15628433227539,35.470333099365234
2019-10-02,56.58496856689453,83.20640563964844,37.13758850097656,34.406322479248054
2019-10-03,55.29917526245117,83.50541687011719,36.9114875793457,34.426212310791016
2019-10-04,55.73773956298828,84.36260223388672,37.51028060913086,34.729507446289055
2019-10-07,56.58496856689453,84.82109069824219,37.73141479492188,34.997997283935554
2019-10-08,56.136436462402344,83.53531646728516,37.569915771484375,34.57040405273437
2019-10-09,56.20620727539063,83.95892333984375,37.71650695800781,34.878665924072266
2019-10-10,56.43545913696289,84.88089752197266,37.81340789794922,35.216766357421875
2019-10-11,56.59493637084961,86.2962417602539,37.44816589355469,35.977481842041016
2019-10-14,57.113243103027344,85.7131576538086,37.48046875,35.84323501586914
2019-10-15,57.39233016967773,86.62516021728516,37.47052764892578,36.2807731628418
2019-10-16,57.54183959960938,86.52548217773438,37.24691390991211,36.28574752807617
2019-10-17,57.37239456176758,86.7148666381836,37.25188064575195,36.196250915527344
2019-10-18,56.94379806518555,86.53545379638672,37.13510513305664,36.06200408935547
2019-10-21,57.03350448608398,86.9441146850586,37.06304931640625,36.29568862915039
2019-10-22,57.03350448608398,87.1434555053711,37.25685119628906,36.33049392700195
2019-10-23,57.22288513183594,86.97401428222656,37.398475646972656,36.35038375854492
2019-10-24,57.83089447021485,87.27302551269531,37.5723991394043,36.49954605102539
2019-10-25,57.9604721069336,87.61689758300781,37.70905303955078,36.544288635253906
2019-10-28,57.94053649902344,87.9557876586914,37.7761344909668,36.55920791625977
